PERIODO,KM,severidade,risco_previsto
2025-06,313,3.0,2.6717991650102135
2025-02,113,4.0,2.6673143894566347
2025-08,313,1.0,2.667168632355583
2025-07,314,2.0,2.6655906479137434
2025-07,315,0.0,2.664763694449211
2025-06,97,6.0,2.6594976611353496
2025-03,315,0.0,2.6550876076831043
2025-08,16,0.0,2.6525386649084624
2025-03,100,0.0,2.649780127714342
2025-08,312,1.0,2.648067120517883
2025-04,307,0.0,2.647578108023322
2025-09,101,2.0,2.637421002032779
2025-10,308,9.0,2.6367094282001045
2025-04,23,6.0,2.6335507102894424
2025-02,11,0.0,2.631441816878866
2025-01,5,0.0,2.6277802676481894
2025-09,100,1.0,2.6272069907127054
2025-06,2,3.0,2.626161660510094
2025-05,0,0.0,2.624217352949498
2025-12,310,1.0,2.622706930245449
2025-05,59,0.0,2.621453741583456
2025-02,21,0.0,2.617611208605679
2025-11,317,0.0,2.6157726713944744
2025-10,128,1.0,2.6143725819257266
2025-05,11,0.0,2.613285852589287
2025-03,307,0.0,2.6100353732656236
2025-08,315,3.0,2.6083863458264993
2025-04,21,4.0,2.6063681182945238
2025-07,313,2.0,2.6046943330037964
2025-10,310,1.0,2.604107828655906
2025-04,54,0.0,2.5975685154590984
2025-05,16,15.0,2.595970388910037
2025-12,1,0.0,2.595546405078393
2025-09,307,1.0,2.5925992359928127
2025-06,125,1.0,2.5920206440504305
2025-10,21,0.0,2.5908899213182734
2025-11,23,13.0,2.5890273100510814
2025-04,1,16.0,2.587176605824824
2025-06,308,4.0,2.585663291086017
2025-11,0,1.0,2.582086321044567
2025-07,4,0.0,2.5810454081549197
2025-03,16,6.0,2.5795973649507102
2025-05,64,13.0,2.5699510421796448
2025-02,99,0.0,2.5685130467880497
2025-08,309,2.0,2.5671278850591226
2025-02,14,9.0,2.56653671776024
2025-09,13,2.0,2.565875816717318
2025-03,312,1.0,2.5584645433561564
2025-08,0,0.0,2.5577882324019403
2025-08,21,2.0,2.5536203338421526
2025-10,14,5.0,2.5525067370954164
2025-05,114,0.0,2.5518817132859395
2025-09,313,0.0,2.549177084181272
2025-11,114,2.0,2.54869867053589
2025-12,113,3.0,2.5461412889761017
2025-04,2,1.0,2.5454848364080114
2025-11,89,0.0,2.5441871071401683
2025-04,63,0.0,2.544056732128165
2025-09,308,3.0,2.54388229997168
2025-01,3,0.0,2.5435110266525367
2025-04,15,2.0,2.5421001766223155
2025-06,310,1.0,2.5418413722465796
2025-01,16,0.0,2.539863321081131
2025-01,56,0.0,2.535414453069355
2025-12,312,2.0,2.531290647916371
2025-10,13,1.0,2.5302501329101683
2025-04,313,3.0,2.5296740102170285
2025-06,120,2.0,2.528844280445513
2025-11,308,1.0,2.5263029382041164
2025-08,310,2.0,2.523923138129103
2025-07,307,0.0,2.523267825503259
2025-09,314,0.0,2.52191769302622
2025-09,317,0.0,2.5196303360506476
2025-01,99,7.0,2.510755393896732
2025-04,308,1.0,2.5103820586055887
2025-08,2,0.0,2.508639360475432
2025-03,120,2.0,2.5079577470924486
2025-02,114,3.0,2.50545881373616
2025-06,59,14.0,2.498987681424557
2025-07,64,2.0,2.498491562185657
2025-03,310,2.0,2.4816907936753214
2025-07,120,3.0,2.4813458232997747
2025-07,308,2.0,2.479017894758446
2025-06,0,0.0,2.477022714871232
2025-09,309,5.0,2.4768735061527365
2025-08,54,5.0,2.476607434878336
2025-03,97,3.0,2.47218320332967
2025-12,313,1.0,2.47145826259255
2025-10,317,2.0,2.4692197696547726
2025-05,308,2.0,2.4678271012989503
2025-12,314,2.0,2.4663650182851806
2025-01,114,3.0,2.4651745589238736
2025-12,11,0.0,2.4593368669904527
2025-01,113,2.0,2.4575177264127737
